Queries,Number of Overlapping Results,Percent Overlap,Spearman Coefficient
Query 1,3.0,30.0,-11.25
Query 2,1.0,10.0,1.0
Query 3,2.0,20.0,-9.0
Query 4,2.0,20.0,-44.0
Query 5,1.0,10.0,0.0
Query 6,5.0,50.0,-3.05
Query 7,3.0,30.0,-9.25
Query 8,2.0,20.0,-48.0
Query 9,1.0,10.0,0.0
Query 10,3.0,30.0,-33.25
Query 11,5.0,50.0,-0.55
Query 12,2.0,20.0,-17.0
Query 13,5.0,50.0,-1.15
Query 14,2.0,20.0,-9.0
Query 15,1.0,10.0,0.0
Query 16,0.0,0.0,0.0
Query 17,2.0,20.0,-57.0
Query 18,0.0,0.0,0.0
Query 19,3.0,30.0,-7.25
Query 20,4.0,40.0,-0.8
Query 21,2.0,20.0,-9.0
Query 22,0.0,0.0,0.0
Query 23,3.0,30.0,-2.25
Query 24,0.0,0.0,0.0
Query 25,3.0,30.0,-4.5
Query 26,4.0,40.0,0.7
Query 27,2.0,20.0,-40.0
Query 28,4.0,40.0,-2.8
Query 29,2.0,20.0,-15.0
Query 30,1.0,10.0,0.0
Query 31,3.0,30.0,0.0
Query 32,1.0,10.0,0.0
Query 33,3.0,30.0,-7.25
Query 34,2.0,20.0,-79.0
Query 35,1.0,10.0,1.0
Query 36,3.0,30.0,-19.5
Query 37,4.0,40.0,-3.2
Query 38,4.0,40.0,-2.3
Query 39,2.0,20.0,-16.0
Query 40,1.0,10.0,0.0
Query 41,3.0,30.0,-6.25
Query 42,1.0,10.0,1.0
Query 43,5.0,50.0,-1.3
Query 44,2.0,20.0,-24.0
Query 45,1.0,10.0,0.0
Query 46,2.0,20.0,-1.0
Query 47,1.0,10.0,1.0
Query 48,3.0,30.0,-1.25
Query 49,1.0,10.0,0.0
Query 50,2.0,20.0,-28.0
Query 51,4.0,40.0,-10.7
Query 52,2.0,20.0,-1.0
Query 53,3.0,30.0,-1.75
Query 54,2.0,20.0,-25.0
Query 55,2.0,20.0,1.0
Query 56,1.0,10.0,1.0
Query 57,2.0,20.0,-15.0
Query 58,0.0,0.0,0.0
Query 59,1.0,10.0,0.0
Query 60,0.0,0.0,0.0
Query 61,1.0,10.0,0.0
Query 62,3.0,30.0,-17.5
Query 63,2.0,20.0,-16.0
Query 64,3.0,30.0,-15.25
Query 65,3.0,30.0,-17.75
Query 66,3.0,30.0,-12.25
Query 67,1.0,10.0,0.0
Query 68,0.0,0.0,0.0
Query 69,1.0,10.0,1.0
Query 70,3.0,30.0,-15.25
Query 71,1.0,10.0,0.0
Query 72,2.0,20.0,-3.0
Query 73,1.0,10.0,1.0
Query 74,1.0,10.0,0.0
Query 75,5.0,50.0,-3.3
Query 76,3.0,30.0,-20.25
Query 77,3.0,30.0,-7.0
Query 78,1.0,10.0,0.0
Query 79,0.0,0.0,0.0
Query 80,2.0,20.0,-49.0
Query 81,5.0,50.0,0.2
Query 82,0.0,0.0,0.0
Query 83,4.0,40.0,-7.2
Query 84,2.0,20.0,-4.0
Query 85,1.0,10.0,1.0
Query 86,1.0,10.0,0.0
Query 87,3.0,30.0,-3.75
Query 88,0.0,0.0,0.0
Query 89,3.0,30.0,-2.25
Query 90,2.0,20.0,-3.0
Query 91,4.0,40.0,-2.0
Query 92,0.0,0.0,0.0
Query 93,3.0,30.0,-3.5
Query 94,5.0,50.0,-6.7
Query 95,0.0,0.0,0.0
Query 96,1.0,10.0,0.0
Query 97,2.0,20.0,-7.0
Query 98,1.0,10.0,0.0
Query 99,1.0,10.0,0.0
Query 100,2.0,20.0,-49.0
Averages,2.09,20.9,-8.22
